id,round_1,round_5,round_9,round_13,round_17,round_20, green, sky, building, road, car, others
0-230244501-3-0.jpeg,1071.5088384883356,1071.8637793236296,1071.2791324193502,1071.2069046759084,1071.1941578819903,1071.1914857537006, 11.972801, 36.31308, 33.73727, 10.527778, 3.8483796, 3.6006944
4-449197600-39-0.jpeg,1075.2717352295415,1071.4306530446722,1070.6974237920952,1070.611987983525,1070.5975948655719,1070.594680377916, 19.266783, 29.89294, 34.21933, 8.070024, 4.274884, 4.2760425
1-160077564-5-3.jpeg,1086.7596698521977,1070.4180270044621,1069.1884659656023,1069.0635412957076,1069.0454702865368,1069.0422599228116, 11.517361, 35.73322, 34.02778, 3.8501158, 3.992477, 10.879052
1-448953269-74-0.jpeg,1058.7984877551266,1068.432407752195,1068.2213834255167,1068.180021065526,1068.1701402908448,1068.1676720690846, 25.760996, 33.102432, 14.247685, 5.3015046, 16.37037, 5.2170143
1-47225638-8-3.jpeg,1059.5331736909172,1066.9335202624702,1066.7138744555318,1066.6706378478045,1066.6610658489785,1066.658797575259, 15.193866, 3.5208333, 55.48322, 6.3993053, 11.249421, 8.1533575
2-95914728-45-0.jpeg,1065.6871269919643,1065.032423342754,1064.3196077173375,1064.2314907231755,1064.2165199417752,1064.2135159580635, 17.373264, 52.686344, 5.3802085, 11.939236, 9.081597, 3.539352
0-226894614-0-3.jpeg,1086.785865574902,1065.2462456219384,1063.8821142942807,1063.741614852664,1063.7203243290394,1063.7164222222632, 16.15162, 24.202547, 40.16088, 10.729167, 3.8854167, 4.8703704
1-177684430-57-3.jpeg,1059.930419715204,1062.5274025441022,1061.9772407851453,1061.9076196978642,1061.89542734356,1061.8928665277544, 13.73669, 7.013889, 51.523727, 14.690972, 3.4994214, 9.535301
2-10632127-4-0.jpeg,1046.6762814698907,1053.388980040744,1053.074952056718,1053.0262035543328,1053.0164846084108,1053.0142656989178, 3.2592592, 31.806135, 39.649307, 8.418982, 11.324074, 5.542246
0-362420718-1-0.jpeg,1040.025984555126,1052.6374865226937,1052.5791306933402,1052.5469485718108,1052.538654687724,1052.5365541878448, 17.333334, 0.7222222, 66.09491, 5.45081, 2.6348379, 7.7638893
2-71293415-9-0.jpeg,1064.2825989506375,1051.949011180916,1050.938560671439,1050.8318348698097,1050.815004094166,1050.811755937681, 10.654514, 29.806135, 37.555557, 7.258102, 9.69618, 5.0295143
4-40109218-8-3.jpeg,1036.7665070741432,1045.960312764454,1045.7727353056946,1045.7304382878901,1045.720651851348,1045.7182932040232, 32.20197, 36.27199, 10.84838, 4.0208335, 10.945024, 5.7118053
1-100323308-66-0.jpeg,1038.3783718473098,1043.3945035502616,1042.9863911353373,1042.9307963527199,1042.9196580730513,1042.9171006971783, 21.691551, 37.95197, 19.719908, 10.571759, 5.601852, 4.462963
3-13025672-8-0.jpeg,1054.5111710181118,1043.7076118272953,1042.647925287935,1042.5331470130322,1042.5148713165354,1042.5113524112082, 11.22338, 50.586807, 17.668982, 5.8784723, 6.040509, 8.601852
1-93903366-1-0.jpeg,1039.2837159655667,1041.6050388916274,1041.1652700946877,1041.1091464509386,1041.0996336583162,1041.0976965267166, 18.818865, 65.95081, 0.7013889, 4.858796, 3.6944444, 5.975694
3-474684587-1-3.jpeg,1037.5138041722116,1041.5213999207351,1041.1066730668151,1041.048036309166,1041.0368288028694,1041.0344001899375, 14.481482, 15.824653, 54.002895, 1.2876158, 7.6672454, 6.736111
0-135765826-0-3.jpeg,1034.3329263053197,1038.1774332581579,1037.8016189352995,1037.7470885338937,1037.7360304561619,1037.733502199256, 2.9403934, 19.277779, 54.054398, 6.851273, 8.722222, 8.153935
4-175629805-12-3.jpeg,1039.6519022403909,1038.4885470925665,1037.7996855930223,1037.7170101798138,1037.7026362501833,1037.6996561975752, 28.00926, 9.891783, 39.83102, 7.8489585, 6.67419, 7.7447915
0-38867851-1-3.jpeg,1050.6497842464642,1037.773165965933,1036.734900962698,1036.62610181942,1036.6094999520367,1036.6063859214705, 24.26794, 6.672454, 48.399307, 6.1875, 4.70544, 9.767362
3-44578496-18-3.jpeg,1040.2163000215237,1035.9677122338362,1035.1409334757357,1035.0432104797871,1035.026854703581,1035.023630204713, 44.18808, 23.064816, 6.583912, 10.853588, 8.913774, 6.3958335
4-44395406-2-3.jpeg,1049.092851695533,1033.7737072291045,1032.5115246273976,1032.3780898575135,1032.3575897257635,1032.353793584081, 31.105904, 14.119213, 26.770254, 5.2152777, 4.721065, 18.068289
4-14931569-5-3.jpeg,1032.8462032943312,1031.9491536498874,1031.3411055471256,1031.2645441067116,1031.2507234939833,1031.247797759353, 13.576967, 12.278357, 53.024307, 9.458333, 4.288773, 7.3732643
4-39692082-0-3.jpeg,1039.3722875023811,1031.7276921500456,1030.854450038885,1030.75264420425,1030.7359647259636,1030.7327149349364, 19.249422, 23.855904, 32.727432, 7.179398, 11.421875, 5.5659723
4-71754436-8-3.jpeg,1036.4105944434878,1031.5527672169528,1030.7576614226432,1030.6669059917015,1030.651725168459,1030.6486813582694, 6.4797454, 59.179977, 13.707755, 9.968171, 2.4583333, 8.206019
4-48982233-3-0.jpeg,1022.4603056799338,1024.7180092226872,1024.181316176844,1024.1105168447598,1024.097325857876,1024.094462275624, 23.624422, 45.873844, 11.732639, 9.177083, 2.1203704, 7.4716444
2-235020971-4-0.jpeg,1032.494933260931,1023.9359296041479,1023.0674998700238,1022.9742382997414,1022.959525569595,1022.9566769467144, 24.677084, 50.940395, 6.127315, 8.566551, 3.4195602, 6.269097
4-157812450-0-3.jpeg,1014.5612778416399,1020.2883617954941,1019.9673453145059,1019.9151716930367,1019.9046255740557,1019.9022362316624, 14.497107, 63.33449, 6.0734954, 3.7667825, 2.894676, 9.43345
1-33683398-39-3.jpeg,1029.153677905083,1021.0003612109435,1019.9935527889812,1019.8866503379924,1019.8702540566885,1019.8671752053407, 8.99132, 0.13425925, 72.86864, 5.0885415, 5.318866, 7.598379
4-168577948-38-3.jpeg,1011.8167606300722,1018.512123309515,1018.1541598708644,1018.0960699447589,1018.0841543614882,1018.0814277514132, 14.26794, 44.85359, 18.233797, 10.933449, 2.6886575, 9.022571
3-177925123-2-3.jpeg,1015.4945806810928,1017.1564191881506,1016.5627722395792,1016.4884316469008,1016.4749148038729,1016.4720302347234, 22.387154, 35.14352, 19.880209, 11.463542, 2.6869214, 8.438658
