id,round_1,round_5,round_9,round_13,round_17,round_20
1-175621779-1-0.jpeg,1243.041013295044,1310.1989762370424,1312.5157585569827,1312.680554755234,1312.6938616320745,1312.6944036649568
1-27448160-6-3.jpeg,1243.835099400318,1303.4957015534574,1305.4800885768136,1305.6218359459,1305.633033612661,1305.6334096299697
4-48984993-8-0.jpeg,1268.2562153672588,1302.8576591811104,1303.8187291031882,1303.8736535098894,1303.8745105859534,1303.8734720309585
2-177741555-1-0.jpeg,1226.8207513520756,1298.5984887618392,1301.185206557441,1301.3712415119899,1301.3870890722042,1301.3880356118227
3-245518303-0-3.jpeg,1214.878577907884,1292.5950669283461,1295.8683175849005,1296.1676619111815,1296.2098339676552,1296.2168188322662
3-38853658-0-0.jpeg,1235.643914877505,1288.686838044993,1290.181453180616,1290.279831228439,1290.2861666648703,1290.2859353936321
4-89386102-10-0.jpeg,1220.2919957373088,1281.698348064753,1284.0553661694742,1284.24001320993,1284.2574541964368,1284.2588431936729
2-85711359-1-3.jpeg,1238.0613585078795,1282.0126648694077,1283.4738427539653,1283.5811042767664,1283.5891337192272,1283.5891120613226
4-168579536-4-0.jpeg,1216.6525722018769,1278.2328194997833,1280.7862458652542,1281.0380722508407,1281.0769126553541,1281.0838171895348
4-177691050-3-0.jpeg,1207.108580092129,1275.711998080573,1278.104716959385,1278.2742182192048,1278.2874761493358,1278.2879269579792
4-50843194-15-3.jpeg,1234.216245053942,1275.1492728968988,1276.2867666789268,1276.3656320810976,1276.3718042564537,1276.3719431560912
1-22732093-24-0.jpeg,1214.4242918761954,1272.5083235827585,1274.6243341311767,1274.7881714169014,1274.8029118897402,1274.8038802345334
3-280789129-4-3.jpeg,1222.9193251610923,1269.4175672536626,1270.8338862323599,1270.9342700531288,1270.9423314809276,1270.942572994056
1-50775225-28-0.jpeg,1226.133140812893,1268.3909745136887,1269.361403038989,1269.4166474938368,1269.4178781698063,1269.416911982144
2-176822404-1-0.jpeg,1224.3249825426367,1268.1193027171712,1269.310761766468,1269.3825103425693,1269.3854509995333,1269.384684345026
1-135626762-11-0.jpeg,1210.8638359995969,1265.2879753764412,1267.138199984264,1267.2726034608077,1267.285100876328,1267.2861113954762
1-159539843-1-3.jpeg,1222.5242707574819,1265.1187785159455,1266.2319244932967,1266.2982132110972,1266.3006632803908,1266.299876007516
3-40033034-8-3.jpeg,1220.1234198880084,1261.81550619595,1262.7490084726885,1262.7992925519723,1262.800536915382,1262.799736074405
3-237271806-10-3.jpeg,1209.0674862762264,1260.5462840600544,1262.233534008485,1262.352191237516,1262.3606742745653,1262.360681191857
3-289361539-0-3.jpeg,1208.4878896425964,1259.812391984586,1261.777066239804,1261.9479417640525,1261.966896443173,1261.968948987787
2-131607111-1-0.jpeg,1197.9106484825165,1258.4192989915705,1260.446578367803,1260.602823213799,1260.6185673122593,1260.6200873579232
4-473380648-1-3.jpeg,1212.2985746079964,1258.0300083346392,1259.315238767558,1259.400719947251,1259.4060604867914,1259.4057564570978
4-24446741-9-0.jpeg,1205.7950169377048,1254.3107396884805,1255.9609391338643,1256.0863914915792,1256.0982293211553,1256.099153539422
4-336885594-29-3.jpeg,1192.0183110337018,1250.7164144477395,1252.8111726074728,1252.9671266075277,1252.9795681197695,1252.979971539571
4-50843200-5-0.jpeg,1204.0121276439047,1250.5615889877301,1252.0073782159247,1252.103944530107,1252.110325159712,1252.1101533358697
2-424580468-2-0.jpeg,1182.3125932170149,1247.4550556001416,1250.2375949540228,1250.495253075646,1250.52994232764,1250.5353162310182
4-176688377-5-0.jpeg,1192.2077231973487,1245.9132451831438,1247.8887215715056,1248.09586740759,1248.13127902764,1248.1380472605576
0-248845437-17-3.jpeg,1198.7176099810454,1246.5913590772584,1247.9879338946666,1248.0791357061867,1248.08468663463,1248.0843425298024
1-57154008-0-3.jpeg,1208.0444343862537,1246.8917182815032,1247.9941705399683,1248.0788236668634,1248.0844551337955,1248.0840511680829
4-10670780-5-0.jpeg,1217.677157572042,1243.5980178476736,1244.0798262468466,1244.0950096958215,1244.0915803127923,1244.0900025980613
0-15670287-26-3.jpeg,1185.3150434772153,1241.602803970649,1243.6020448059776,1243.7514923903857,1243.7648586254682,1243.765774590188
3-65066582-23-0.jpeg,1180.0276631855763,1240.9271761588159,1242.7946208553983,1242.9289421617034,1242.9403075978869,1242.9408890287468
2-40784659-23-0.jpeg,1221.2017317943362,1240.8642343654774,1241.005428609746,1241.0085494902364,1241.0083280255244,1241.0080658738063
4-148112387-114-0.jpeg,1206.6452220224808,1239.0979443521337,1239.8444154220165,1239.8825199551973,1239.8817797898403,1239.8805785968989
4-10260585-8-3.jpeg,1201.4800039950894,1238.053466006134,1239.050797360665,1239.1104488981873,1239.1127631474294,1239.1120854373762
3-71365254-4-3.jpeg,1190.920577723681,1227.5309034145369,1228.3227600758362,1228.360155938699,1228.3596632792537,1228.3585513810262
1-71601971-2-0.jpeg,1176.3994747151246,1226.40827708447,1228.144126003934,1228.2699511419628,1228.2812349171354,1228.2820063795373
4-47280266-31-0.jpeg,1186.763936092773,1223.953242462618,1224.794845480111,1224.8494776459713,1224.853786192861,1224.8538404039568
2-295430708-0-3.jpeg,1178.1686054864983,1216.2517340488266,1217.2495087316354,1217.307719494972,1217.309749095978,1217.3089957883737
1-160163187-19-0.jpeg,1198.0273538023507,1211.0909842901872,1210.9650107136688,1210.931929428093,1210.9234565788615,1210.9212954265086
4-275146805-5-3.jpeg,1158.3876421417483,1208.4605343810472,1210.2455790229085,1210.409790979423,1210.4333287668496,1210.4372241791302
0-93900476-2-3.jpeg,1178.742185320219,1204.6625854300228,1205.190096067096,1205.2192476710252,1205.2192178058392,1205.2183757076245
2-475044040-25-0.jpeg,1156.0734097989555,1203.4271495789933,1204.824977781441,1204.9149763928517,1204.920431346725,1204.9201035031272
3-125465015-2-3.jpeg,1172.785277575582,1203.6605569609944,1204.4005849096297,1204.4427699373002,1204.4433386679477,1204.44239138901
3-12272379-52-0.jpeg,1153.80139637204,1200.8408488329185,1202.171225105137,1202.2526843372866,1202.2569690537282,1202.2564707212687
0-69555386-13-3.jpeg,1165.7825655205083,1199.0999865928006,1200.038189583937,1200.0944532691371,1200.0956841216962,1200.0946780181998
2-38870001-1-3.jpeg,1166.8440889725778,1198.2354805094565,1198.906185525679,1198.938497570069,1198.9380539676713,1198.9370694961508
